ID,Name,Platform,Year_of_Release,Genre,Publisher,Developer,Rating
863651595,Worldwide Soccer Manager 2007,PC,2006,Sports,Sega,Sports Interactive,E
761404444,Zettai Meikyuu Grimm: Nanatsu no Kagi to Rakuen no Otome,PSP,2010,Misc,Karin Entertainment,,
782620061,The Sims 2: Family Fun Stuff,PC,2006,Simulation,Electronic Arts,Maxis,T
856270891,Dreamer Series: Horse Trainer,DS,2008,Simulation,DreamCatcher Interactive,,
565786538,Hogs of War,PS,2000,Strategy,Infogrames,Infogrames Sheffield,T
902066947,Elven Legacy,PC,2009,Strategy,Paradox Interactive,1C:Ino-Co,T
221261233,Katekyoo Hitman Reborn! Dream Hyper Battle!,PS2,2007,Fighting,Marvelous Interactive,,
375867523,Muchi Muchi Pork & Pink Sweets,X360,2011,Shooter,Cave,,
986700934,Trapped Dead,PC,2011,Strategy,Iceberg Interactive,"Headup Games, Crenetic Studios",
464842584,Meiji Toukyou Renka,PSP,2013,Adventure,Broccoli,,
891799915,Point Blank 3,PS,2000,Shooter,Namco Bandai Games,Tose Software,T
517766296,Mushihimesama,X360,2012,Action,Cave,,
327933983,Higurashi no Naku Koro ni: Jan,PSP,2009,Misc,AQ Interactive,,
726008776,Ratchet & Clank Collection,PSV,2014,Action,Sony Computer Entertainment,,
788269667,Elvandia Story,PS2,2007,Role-Playing,Spike,,
876551208,Winning Post 8 2016,PS4,2016,Simulation,Tecmo Koei,,
890931691,Soukoku no Kusabi: Hiiro no Kakera 3 - Ashita e no Tobira,PSP,2012,Action,Idea Factory,,
182165569,Triggerheart Excelica Enhanced,PS2,2009,Shooter,Alchemist,,
498284116,Vietcong,PC,2003,Shooter,Gathering of Developers,Pterodon,T
576359763,Nervous Brickdown,DS,2007,Puzzle,Eidos Interactive,Arkedo Studio,E
218830614,Puzzle Star Sweep,PS,1997,Puzzle,Midas Interactive Entertainment,,
158937054,Battle Spirits: Kiseki no Hasha,PSP,2009,Role-Playing,Namco Bandai Games,,
210369730,Maximum Racing: Crash Car Racer,Wii,2010,Racing,Nordic Games,Nordic Games Publishing,E
757298001,The Conveni 4,PS2,2006,Simulation,Hamster Corporation,,
642620417,The Cheetah Girls,GBA,2006,Misc,Disney Interactive Studios,Gorilla Systems,E
914163991,Charlie's Angels,GC,2003,Action,Ubisoft,Neko Entertainment,T
135812338,Kamen Rider: Battride War II,WiiU,2014,Action,Namco Bandai Games,,
677379133,Niko Puchi Girls Runway,3DS,2015,Misc,Happinet,,
499605913,uDraw Studio: Instant Artist,X360,2011,Misc,THQ,THQ,E
278698599,The Testament of Sherlock Holmes,X360,2012,Adventure,Focus Home Interactive,Frogwares,M
583818054,Seitokai no Ichizon: DS-suru Seitokai,DS,2010,Adventure,Kadokawa Shoten,,
365700037,Disney Infinity,PSV,2013,Action,Disney Interactive Studios,,
676132413,Guitar Hero III: Legends of Rock,PC,2007,Misc,Aspyr,Aspyr,T
741603647,Teenage Mutant Ninja Turtles Double Pack,GBA,2006,Action,Konami Digital Entertainment,,
435571255,The Crew: Wild Run,XOne,2015,Action,Ubisoft,Ivory Tower,T
880684403,Prism Ark: Awake,PS2,2008,Adventure,5pb,,
901505203,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.8,PS3,2016,Misc,Namco Bandai Games,,
889512747,Rozen Maiden: Duellwalzer,PS2,2006,Adventure,Taito,,
839996805,Rugby 06,XB,2006,Sports,Electronic Arts,,
920484523,Winter Blast: 9 Snow & Ice Games,Wii,2010,Sports,Destineer,,
738134722,Coven and Labyrinth of Refrain,PSV,2016,Action,Nippon Ichi Software,,
282227632,Marvel Avengers: Battle for Earth,X360,2012,Action,Ubisoft,Ubisoft Quebec,T
258641305,Natsuiro High School: Seishun Hakusho,PS3,2015,Action,D3Publisher,,
440210739,Uppers,PSV,2016,Action,Marvelous Entertainment,,
221362362,Shrek / Shark Tale Game Boy Advance Video,GBA,2006,Misc,Hasbro Interactive,,
128935327,Lovely x Cation 1 & 2,PSV,2015,Action,5pb,,
289275323,Urban Chaos: Riot Response,XB,2006,Shooter,Eidos Interactive,Rocksteady Studios,M
637173628,Starship Troopers,PC,2005,Shooter,Empire Interactive,Strangelite,M
632416503,Downtown Nekketsu Koushinkyoku: Soreyuke Daiundoukai All-Star Special,PS3,2015,Action,Arc System Works,,
942209610,Ginga Fukei Densetsu: Sapphire,TG16,1995,Shooter,Hudson Soft,,
645635137,Katekyoo Hitman Reborn!! Let's Ansatsu!? Nerawareta 10 Daime!,PS2,2007,Action,Marvelous Interactive,,
156428173,The Mummy,GBA,2002,Action,Ubisoft,Ubisoft Milan,E
786541702,Guitar Freaks V3 & DrumMania V3,PS2,2007,Simulation,Konami Digital Entertainment,,
760124215,Chrysler Classic Racing,DS,2008,Racing,Zoo Games,Extra Mile Studios,E
230168332,The Crow: City of Angels,PS,1997,Action,Acclaim Entertainment,,
986329278,Military History: Commander - Europe at War,PSP,2009,Strategy,Slitherine Software,,
234318282,Snow Portable,PSP,2007,Adventure,Prototype,,
587564132,Heroes of the Pacific,PC,2005,Simulation,Codemasters,IR Gurus,T
741230399,Poyo Poyo Kansatsu Nikki,3DS,2012,Action,IE Institute,,
650543284,Jinsei Game DS,DS,2006,Misc,Atlus,,
507588793,Guitar Freaks & DrumMania: Masterpiece Gold,PS2,2007,Simulation,Konami Digital Entertainment,,
